iter	Passed	Remaining
324	1490	3095
325	1493	3087
326	1496	3080
327	1501	3075
328	1504	3068
329	1507	3060
330	1510	3053
331	1515	3049
332	1519	3043
333	1522	3035
334	1525	3028
335	1529	3023
336	1533	3017
337	1536	3010
338	1539	3002
339	1544	2997
340	1548	2992
341	1551	2984
342	1554	2977
343	1557	2970
344	1562	2965
345	1565	2959
346	1568	2951
347	1571	2944
348	1576	2941
349	1580	2934
350	1583	2927
351	1586	2920
352	1591	2916
353	1594	2910
354	1598	2903
355	1601	2896
356	1605	2891
357	1608	2885
358	1611	2878
359	1615	2871
360	1618	2864
361	1622	2859
362	1626	2853
363	1629	2846
364	1632	2840
365	1637	2836
366	1640	2830
367	1644	2823
368	1647	2816
369	1651	2812
370	1655	2806
371	1658	2799
372	1661	2793
373	1665	2787
374	1669	2782
375	1672	2775
376	1675	2769
377	1678	2762
378	1683	2758
379	1686	2752
380	1690	2745
381	1693	2739
382	1730	2787
383	1736	2786
384	1741	2781
385	1745	2777
386	1749	2770
387	1753	2765
388	1756	2759
389	1761	2754
390	1765	2749
391	1769	2743
392	1772	2737
393	1777	2733
394	1782	2729
395	1791	2732
396	1796	2728
397	1800	2722
398	1803	2715
399	1807	2711
400	1811	2705
401	1814	2698
402	1817	2692
403	1822	2688
404	1826	2682
405	1827	2673
406	1830	2666
407	1834	2661
408	1838	2656
409	1841	2650
410	1844	2643
411	1847	2637
412	1852	2633
413	1856	2627
414	1859	2620
415	1862	2614
416	1867	2610
417	1870	2604
418	1873	2598
419	1876	2591
420	1880	2585
421	1883	2580
422	1887	2574
423	1890	2567
424	1893	2561
425	1898	2557
426	1901	2551
427	1904	2545
428	1907	2539
429	1912	2535
430	1916	2529
431	1919	2523
432	1922	2517
433	1927	2513
434	1931	2508
435	1934	2502
436	1937	2496
437	1942	2492
438	1946	2487
439	1949	2481
440	1952	2475
441	1956	2469
442	1960	2465
443	1963	2459
444	1967	2453
445	1970	2447
446	1975	2443
447	1978	2437
448	1981	2431
449	1985	2426
450	1989	2421
451	1992	2415
452	1995	2409
453	1998	2403
454	2003	2399
455	2006	2394
456	2010	2388
457	2013	2382
458	2017	2378
459	2021	2373
460	2024	2367
461	2028	2361
462	2033	2357
463	2037	2353
464	2040	2347
465	2043	2341
466	2048	2337
467	2051	2332
468	2054	2326
469	2058	2320
470	2062	2316
471	2066	2311
472	2069	2305
473	2072	2300
474	2076	2295
475	2080	2290
476	2083	2284
477	2086	2278
478	2090	2273
479	2095	2270
480	2099	2265
481	2103	2260
482	2107	2256
483	2111	2250
484	2114	2245
485	2117	2239
486	2121	2234
487	2124	2229
488	2128	2223
489	2131	2218
490	2134	2212
491	2139	2208
492	2142	2203
493	2145	2198
494	2149	2192
495	2153	2188
496	2157	2183
497	2160	2177
498	2163	2172
499	2167	2167
500	2171	2162
501	2174	2157
502	2177	2151
503	2180	2146
504	2185	2141
505	2188	2136
506	2191	2131
507	2194	2125
508	2199	2122
509	2203	2116
510	2206	2111
511	2209	2105
512	2214	2101
513	2217	2096
514	2220	2091
515	2223	2085
516	2227	2081
517	2231	2076
518	2234	2070
519	2237	2065
520	2240	2060
521	2245	2056
522	2248	2051
523	2251	2045
524	2254	2040
525	2259	2036
526	2263	2031
527	2266	2026
528	2269	2020
529	2274	2016
530	2277	2011
531	2280	2006
532	2284	2001
533	2287	1996
534	2291	1991
535	2294	1986
536	2297	1981
537	2300	1975
538	2305	1971
539	2308	1966
540	2312	1961
541	2315	1956
542	2320	1952
543	2323	1947
544	2326	1942
545	2329	1937
546	2334	1932
547	2338	1928
548	2341	1923
549	2344	1918
550	2347	1913
551	2351	1908
552	2354	1903
553	2358	1898
554	2361	1893
555	2366	1889
556	2370	1885
557	2373	1879
558	2376	1874
559	2382	1871
560	2385	1866
561	2388	1861
562	2391	1856
563	2396	1852
564	2400	1848
565	2403	1843
566	2406	1838
567	2411	1834
568	2415	1829
569	2418	1824
570	2421	1819
571	2426	1815
572	2429	1810
573	2432	1805
574	2435	1800
575	2441	1797
576	2444	1792
577	2447	1787
578	2450	1782
579	2456	1778
580	2459	1774
581	2463	1769
582	2466	1764
583	2471	1760
584	2474	1755
585	2477	1750
586	2481	1745
587	2485	1741
588	2489	1737
589	2492	1732
590	2495	1727
591	2499	1722
592	2503	1718
593	2506	1713
594	2509	1708
595	2512	1703
596	2517	1699
597	2520	1694
598	2523	1689
599	2527	1684
600	2531	1680
601	2535	1675
602	2538	1671
603	2541	1666
604	2545	1661
605	2548	1657
606	2552	1652
607	2555	1647
608	2558	1642
609	2562	1638
610	2566	1633
611	2569	1628
612	2572	1624
613	2577	1620
614	2580	1615
615	2583	1610
616	2587	1605
617	2591	1601
618	2594	1597
619	2598	1592
620	2601	1587
621	2604	1582
622	2608	1578
623	2612	1574
624	2615	1569
625	2618	1564
626	2623	1560
627	2627	1556
628	2630	1551
629	2633	1546
630	2637	1542
631	2641	1537
632	2644	1533
633	2647	1528
634	2650	1523
635	2654	1519
636	2657	1514
637	2660	1509
638	2664	1505
639	2668	1501
640	2671	1496
641	2675	1491
642	2678	1486
643	2682	1482
644	2686	1478
645	2689	1473
646	2692	1468
647	2698	1465
648	2702	1461
649	2706	1457
650	2710	1453
651	2715	1449
652	2719	1444
653	2722	1440
654	2725	1435
655	2729	1431
656	2733	1426
657	2736	1422
658	2739	1417
659	2744	1413
660	2748	1409
661	2751	1404
662	2754	1400
663	2759	1396
664	2762	1391
665	2766	1387
666	2769	1382
667	2773	1378
668	2777	1374
669	2780	1369
670	2783	1364
671	2787	1360
672	2790	1356
673	2794	1351
674	2797	1346
675	2801	1342
676	2805	1338
677	2808	1334
678	2811	1329
679	2815	1324
680	2820	1321
681	2824	1316
682	2827	1312
683	2831	1307
684	2837	1304
685	2840	1300
686	2844	1295
687	2849	1292
688	2853	1288
689	2857	1283
690	2861	1279
691	2866	1275
692	2869	1271
693	2872	1266
694	2875	1262
695	2880	1258
696	2884	1253
697	2887	1249
698	2890	1244
699	2895	1240
700	2899	1236
701	2902	1231
702	2905	1227
703	2910	1223
704	2913	1219
705	2917	1214
706	2920	1210
707	2925	1206
708	2929	1202
709	2932	1197
710	2935	1193
711	2942	1190
712	2946	1185
713	2949	1181
714	2952	1176
715	2957	1172
716	2960	1168
717	2964	1164
718	2967	1159
719	2971	1155
720	2975	1151
721	2978	1146
722	2981	1142
723	2986	1138
724	2990	1134
725	2993	1129
726	2996	1125
727	3001	1121
728	3005	1117
729	3008	1112
730	3011	1108
731	3015	1104
732	3019	1099
733	3022	1095
734	3026	1091
735	3030	1087
736	3034	1082
737	3040	1079
738	3043	1075
739	3047	1070
740	3051	1066
741	3054	1061
742	3057	1057
743	3062	1053
744	3066	1049
745	3069	1045
746	3072	1040
747	3077	1036
748	3093	1036
749	3101	1033
750	3108	1030
751	3113	1026
752	3117	1022
753	3123	1018
754	3127	1014
755	3130	1010
756	3133	1006
757	3138	1001
758	3142	997
759	3145	993
760	3148	988
761	3151	984
762	3155	980
763	3158	975
764	3161	971
765	3165	966
766	3169	962
767	3173	958
768	3176	954
769	3180	949
770	3185	946
771	3190	942
772	3194	938
773	3205	935
774	3209	931
775	3215	928
776	3220	924
777	3224	920
778	3229	916
779	3234	912
780	3239	908
781	3243	904
782	3247	900
783	3251	895
784	3255	891
785	3260	887
786	3264	883
787	3269	879
788	3281	877
789	3284	873
790	3287	868
791	3292	864
792	3296	860
793	3299	855
794	3302	851
795	3307	847
796	3311	843
797	3315	839
798	3320	835
799	3324	831
800	3327	826
801	3330	822
802	3333	817
803	3338	813
804	3341	809
805	3344	804
806	3347	800
807	3352	796
808	3355	792
809	3359	787
810	3362	783
811	3367	779
812	3371	775
813	3374	771
814	3377	766
815	3382	762
816	3385	758
817	3388	754
818	3392	749
819	3397	745
820	3400	741
821	3404	737
822	3407	732
823	3411	728
824	3422	725
825	3425	721
826	3430	717
827	3434	713
828	3437	709
829	3440	704
830	3445	700
831	3448	696
832	3451	691
833	3454	687
834	3459	683
835	3463	679
836	3467	675
837	3471	671
838	3474	666
839	3478	662
840	3481	658
841	3485	654
842	3489	649
843	3493	645
844	3496	641
845	3500	637
846	3504	632
847	3513	629
848	3544	630
849	3548	626
850	3552	621
851	3555	617
852	3559	613
853	3564	609
854	3568	605
855	3571	600
856	3575	596
857	3580	592
858	3583	588
859	3591	584
860	3599	581
861	3603	576
862	3629	576
863	3636	572
864	3642	568
865	3647	564
866	3652	560
867	3655	555
868	3660	551
869	3663	547
870	3666	543
871	3670	538
872	3674	534
873	3678	530
874	3682	526
875	3687	522
876	3692	517
877	3695	513
878	3699	509
879	3703	505
880	3707	500
881	3710	496
882	3713	492
883	3718	487
884	3723	483
885	3726	479
886	3729	475
887	3735	471
888	3738	466
889	3742	462
890	3745	458
891	3750	454
892	3754	449
893	3757	445
894	3760	441
895	3764	436
896	3768	432
897	3771	428
898	3774	424
899	3779	419
900	3783	415
901	3786	411
902	3789	407
903	3794	402
904	3798	398
905	3801	394
906	3804	390
907	3809	385
908	3813	381
909	3816	377
910	3819	373
911	3823	368
912	3827	364
913	3831	360
914	3835	356
915	3840	352
916	3843	347
917	3847	343
918	3850	339
919	3854	335
920	3858	330
921	3861	326
922	3865	322
923	3869	318
924	3873	314
925	3876	309
926	3880	305
927	3885	301
928	3889	297
929	3892	292
930	3895	288
931	3899	284
932	3904	280
933	3907	276
934	3911	271
935	3915	267
936	3918	263
937	3922	259
938	3925	255
939	3929	250
940	3933	246
941	3936	242
942	3939	238
943	3943	233
944	3947	229
945	3951	225
946	3954	221
947	3957	217
948	3962	212
949	3966	208
950	3970	204
951	3974	200
952	3978	196
953	3982	192
954	3985	187
955	3988	183
956	3993	179
957	3996	175
958	3999	171
959	4003	166
960	4007	162
961	4011	158
962	4014	154
963	4017	150
964	4022	145
965	4026	141
966	4029	137
967	4032	133
968	4036	129
969	4040	124
970	4043	120
971	4047	116
972	4050	112
973	4054	108
974	4057	104
975	4060	99
976	4064	95
977	4068	91
978	4072	87
979	4075	83
980	4078	78
981	4083	74
982	4086	70
983	4090	66
984	4093	62
985	4097	58
986	4101	54
987	4104	49
988	4107	45
989	4111	41
990	4115	37
991	4119	33
992	4123	29
993	4127	24
994	4131	20
995	4134	16
996	4138	12
997	4144	8
998	4147	4
999	4150	0
